MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_arr,FOR,FR,I551,2015,35093619,A,F,NR,
occ_arr,FOR,FR1,I551,2015,15593359,A,F,NR,
occ_arr,FOR,FR10,I551,2015,15593359,A,F,NR,
occ_arr,FOR,FR2,I551,2015,4393323,A,F,NR,
occ_arr,FOR,FR21,I551,2015,617648,A,F,NR,
occ_arr,FOR,FR22,I551,2015,361330,A,F,NR,
occ_arr,FOR,FR23,I551,2015,398089,A,F,NR,
occ_arr,FOR,FR24,I551,2015,939458,A,F,NR,
occ_arr,FOR,FR25,I551,2015,698527,A,F,NR,
occ_arr,FOR,FR26,I551,2015,1378271,A,F,NR,
occ_arr,FOR,FR3,I551,2015,1118334,A,F,NR,
occ_arr,FOR,FR30,I551,2015,1118334,A,F,NR,
occ_arr,FOR,FR4,I551,2015,2419585,A,F,NR,
occ_arr,FOR,FR41,I551,2015,565962,A,F,NR,
occ_arr,FOR,FR42,I551,2015,1572215,A,F,NR,
occ_arr,FOR,FR43,I551,2015,281408,A,F,NR,
occ_arr,FOR,FR5,I551,2015,1326353,A,F,NR,
occ_arr,FOR,FR51,I551,2015,385741,A,F,NR,
occ_arr,FOR,FR52,I551,2015,593808,A,F,NR,
occ_arr,FOR,FR53,I551,2015,346804,A,F,NR,
occ_arr,FOR,FR6,I551,2015,2189414,A,F,NR,
occ_arr,FOR,FR61,I551,2015,987133,A,F,NR,
occ_arr,FOR,FR62,I551,2015,1092842,A,F,NR,
occ_arr,FOR,FR63,I551,2015,109440,A,F,NR,
occ_arr,FOR,FR7,I551,2015,2756961,A,F,NR,
occ_arr,FOR,FR71,I551,2015,2498348,A,F,NR,
occ_arr,FOR,FR72,I551,2015,258613,A,F,NR,
occ_arr,FOR,FR8,I551,2015,5138669,A,F,NR,
occ_arr,FOR,FR81,I551,2015,872902,A,F,NR,
occ_arr,FOR,FR82,I551,2015,3947977,A,F,NR,
occ_arr,FOR,FR83,I551,2015,317790,A,F,NR,
occ_arr,FOR,FRA,I551,2015,157620,A,F,NR,
occ_arr,FOR,FRA1,I551,2015,38723,A,F,NR,
occ_arr,FOR,FRA2,I551,2015,46033,A,F,NR,
occ_arr,FOR,FRA3,I551,2015,13630,A,F,NR,
occ_arr,FOR,FRA4,I551,2015,59233,A,F,NR,
occ_arr,FOR,FR,I552,2015,4301657,A,F,NR,
occ_arr,FOR,FR1,I552,2015,1003315,A,F,NR,
occ_arr,FOR,FR10,I552,2015,1003315,A,F,NR,
occ_arr,FOR,FR2,I552,2015,346693,A,F,NR,
occ_arr,FOR,FR21,I552,2015,26451,A,F,NR,
occ_arr,FOR,FR22,I552,2015,105390,A,F,NR,
occ_arr,FOR,FR23,I552,2015,28706,A,F,NR,
occ_arr,FOR,FR24,I552,2015,59925,A,F,NR,
occ_arr,FOR,FR25,I552,2015,99199,A,F,NR,
occ_arr,FOR,FR26,I552,2015,27021,A,F,NR,
occ_arr,FOR,FR3,I552,2015,54870,A,F,NR,
occ_arr,FOR,FR30,I552,2015,54870,A,F,NR,
occ_arr,FOR,FR4,I552,2015,354823,A,F,NR,
occ_arr,FOR,FR41,I552,2015,196190,A,F,NR,
occ_arr,FOR,FR42,I552,2015,139582,A,F,NR,
occ_arr,FOR,FR43,I552,2015,19051,A,F,NR,
occ_arr,FOR,FR5,I552,2015,213896,A,F,NR,
occ_arr,FOR,FR51,I552,2015,73889,A,F,NR,
occ_arr,FOR,FR52,I552,2015,101694,A,F,NR,
occ_arr,FOR,FR53,I552,2015,38313,A,F,NR,
occ_arr,FOR,FR6,I552,2015,369845,A,F,NR,
occ_arr,FOR,FR61,I552,2015,232890,A,F,NR,
occ_arr,FOR,FR62,I552,2015,132269,A,F,NR,
occ_arr,FOR,FR63,I552,2015,4687,A,F,NR,
occ_arr,FOR,FR7,I552,2015,905739,A,F,NR,
occ_arr,FOR,FR71,I552,2015,890555,A,F,NR,
occ_arr,FOR,FR72,I552,2015,15184,A,F,NR,
occ_arr,FOR,FR8,I552,2015,1051706,A,F,NR,
occ_arr,FOR,FR81,I552,2015,192900,A,F,NR,
occ_arr,FOR,FR82,I552,2015,780194,A,F,NR,
occ_arr,FOR,FR83,I552,2015,78612,A,F,NR,
occ_arr,FOR,FRA,I552,2015,769,A,F,NR,
occ_arr,FOR,FRA1,I552,2015,499,A,F,NR,
occ_arr,FOR,FRA2,I552,2015,270,A,F,NR,
occ_arr,FOR,FR,I553,2015,7402432,A,F,NR,
occ_arr,FOR,FR1,I553,2015,396569,A,F,NR,
occ_arr,FOR,FR10,I553,2015,396569,A,F,NR,
occ_arr,FOR,FR2,I553,2015,1476730,A,F,NR,
occ_arr,FOR,FR21,I553,2015,184884,A,F,NR,
occ_arr,FOR,FR22,I553,2015,278365,A,F,NR,
occ_arr,FOR,FR23,I553,2015,138127,A,F,NR,
occ_arr,FOR,FR24,I553,2015,288044,A,F,NR,
occ_arr,FOR,FR25,I553,2015,278880,A,F,NR,
occ_arr,FOR,FR26,I553,2015,308430,A,F,NR,
occ_arr,FOR,FR3,I553,2015,131967,A,F,NR,
occ_arr,FOR,FR30,I553,2015,131967,A,F,NR,
occ_arr,FOR,FR4,I553,2015,528178,A,F,NR,
occ_arr,FOR,FR41,I553,2015,195716,A,F,NR,
occ_arr,FOR,FR42,I553,2015,174467,A,F,NR,
occ_arr,FOR,FR43,I553,2015,157995,A,F,NR,
occ_arr,FOR,FR5,I553,2015,1026415,A,F,NR,
occ_arr,FOR,FR51,I553,2015,331618,A,F,NR,
occ_arr,FOR,FR52,I553,2015,476794,A,F,NR,
occ_arr,FOR,FR53,I553,2015,218002,A,F,NR,
occ_arr,FOR,FR6,I553,2015,1014318,A,F,NR,
occ_arr,FOR,FR61,I553,2015,721927,A,F,NR,
occ_arr,FOR,FR62,I553,2015,226829,A,F,NR,
occ_arr,FOR,FR63,I553,2015,65563,A,F,NR,
occ_arr,FOR,FR7,I553,2015,823016,A,F,NR,
occ_arr,FOR,FR71,I553,2015,692019,A,F,NR,
occ_arr,FOR,FR72,I553,2015,130997,A,F,NR,
occ_arr,FOR,FR8,I553,2015,2005239,A,F,NR,
occ_arr,FOR,FR81,I553,2015,742056,A,F,NR,
occ_arr,FOR,FR82,I553,2015,921149,A,F,NR,
occ_arr,FOR,FR83,I553,2015,342034,A,F,NR,
occ_arr,NAT,FR,I551,2015,78799599,A,F,NR,
occ_arr,NAT,FR1,I551,2015,16813814,A,F,NR,
occ_arr,NAT,FR10,I551,2015,16813814,A,F,NR,
occ_arr,NAT,FR2,I551,2015,11995623,A,F,NR,
occ_arr,NAT,FR21,I551,2015,1385692,A,F,NR,
occ_arr,NAT,FR22,I551,2015,1355233,A,F,NR,
occ_arr,NAT,FR23,I551,2015,1483634,A,F,NR,
occ_arr,NAT,FR24,I551,2015,3124546,A,F,NR,
occ_arr,NAT,FR25,I551,2015,2232365,A,F,NR,
occ_arr,NAT,FR26,I551,2015,2414153,A,F,NR,
occ_arr,NAT,FR3,I551,2015,2870459,A,F,NR,
occ_arr,NAT,FR30,I551,2015,2870459,A,F,NR,
occ_arr,NAT,FR4,I551,2015,5383998,A,F,NR,
occ_arr,NAT,FR41,I551,2015,1867583,A,F,NR,
occ_arr,NAT,FR42,I551,2015,2413959,A,F,NR,
occ_arr,NAT,FR43,I551,2015,1102456,A,F,NR,
occ_arr,NAT,FR5,I551,2015,10230195,A,F,NR,
occ_arr,NAT,FR51,I551,2015,3752074,A,F,NR,
occ_arr,NAT,FR52,I551,2015,3851660,A,F,NR,
occ_arr,NAT,FR53,I551,2015,2626461,A,F,NR,
occ_arr,NAT,FR6,I551,2015,8667071,A,F,NR,
occ_arr,NAT,FR61,I551,2015,4421541,A,F,NR,
occ_arr,NAT,FR62,I551,2015,3425598,A,F,NR,
occ_arr,NAT,FR63,I551,2015,819933,A,F,NR,
occ_arr,NAT,FR7,I551,2015,10237902,A,F,NR,
occ_arr,NAT,FR71,I551,2015,8257163,A,F,NR,
occ_arr,NAT,FR72,I551,2015,1980739,A,F,NR,
occ_arr,NAT,FR8,I551,2015,11557177,A,F,NR,
occ_arr,NAT,FR81,I551,2015,3466846,A,F,NR,
occ_arr,NAT,FR82,I551,2015,7046699,A,F,NR,
occ_arr,NAT,FR83,I551,2015,1043632,A,F,NR,
occ_arr,NAT,FRA,I551,2015,1043359,A,F,NR,
occ_arr,NAT,FRA1,I551,2015,237387,A,F,NR,
occ_arr,NAT,FRA2,I551,2015,237253,A,F,NR,
occ_arr,NAT,FRA3,I551,2015,126798,A,F,NR,
occ_arr,NAT,FRA4,I551,2015,441921,A,F,NR,
occ_arr,NAT,FR,I552,2015,17607143,A,F,NR,
occ_arr,NAT,FR1,I552,2015,1626803,A,F,NR,
occ_arr,NAT,FR10,I552,2015,1626803,A,F,NR,
occ_arr,NAT,FR2,I552,2015,2001784,A,F,NR,
occ_arr,NAT,FR21,I552,2015,88112,A,F,NR,
occ_arr,NAT,FR22,I552,2015,394697,A,F,NR,
occ_arr,NAT,FR23,I552,2015,393118,A,F,NR,
occ_arr,NAT,FR24,I552,2015,528413,A,F,NR,
occ_arr,NAT,FR25,I552,2015,457101,A,F,NR,
occ_arr,NAT,FR26,I552,2015,140343,A,F,NR,
occ_arr,NAT,FR3,I552,2015,254041,A,F,NR,
occ_arr,NAT,FR30,I552,2015,254041,A,F,NR,
occ_arr,NAT,FR4,I552,2015,952439,A,F,NR,
occ_arr,NAT,FR41,I552,2015,420081,A,F,NR,
occ_arr,NAT,FR42,I552,2015,369094,A,F,NR,
occ_arr,NAT,FR43,I552,2015,163264,A,F,NR,
occ_arr,NAT,FR5,I552,2015,2248028,A,F,NR,
occ_arr,NAT,FR51,I552,2015,862090,A,F,NR,
occ_arr,NAT,FR52,I552,2015,907270,A,F,NR,
occ_arr,NAT,FR53,I552,2015,478668,A,F,NR,
occ_arr,NAT,FR6,I552,2015,2489779,A,F,NR,
occ_arr,NAT,FR61,I552,2015,1498283,A,F,NR,
occ_arr,NAT,FR62,I552,2015,886346,A,F,NR,
occ_arr,NAT,FR63,I552,2015,105151,A,F,NR,
occ_arr,NAT,FR7,I552,2015,3263298,A,F,NR,
occ_arr,NAT,FR71,I552,2015,2986808,A,F,NR,
occ_arr,NAT,FR72,I552,2015,276490,A,F,NR,
occ_arr,NAT,FR8,I552,2015,4758028,A,F,NR,
occ_arr,NAT,FR81,I552,2015,1378014,A,F,NR,
occ_arr,NAT,FR82,I552,2015,2980688,A,F,NR,
occ_arr,NAT,FR83,I552,2015,399326,A,F,NR,
occ_arr,NAT,FRA,I552,2015,12943,A,F,NR,
occ_arr,NAT,FRA1,I552,2015,1574,A,F,NR,
occ_arr,NAT,FRA2,I552,2015,11369,A,F,NR,
occ_arr,NAT,FR,I553,2015,7402432,A,F,NR,
occ_arr,NAT,FR1,I553,2015,396569,A,F,NR,
occ_arr,NAT,FR10,I553,2015,396569,A,F,NR,
occ_arr,NAT,FR2,I553,2015,1476730,A,F,NR,
occ_arr,NAT,FR21,I553,2015,184884,A,F,NR,
occ_arr,NAT,FR22,I553,2015,278365,A,F,NR,
occ_arr,NAT,FR23,I553,2015,138127,A,F,NR,
occ_arr,NAT,FR24,I553,2015,288044,A,F,NR,
occ_arr,NAT,FR25,I553,2015,278880,A,F,NR,
occ_arr,NAT,FR26,I553,2015,308430,A,F,NR,
occ_arr,NAT,FR3,I553,2015,131967,A,F,NR,
occ_arr,NAT,FR30,I553,2015,131967,A,F,NR,
occ_arr,NAT,FR4,I553,2015,528178,A,F,NR,
occ_arr,NAT,FR41,I553,2015,195716,A,F,NR,
occ_arr,NAT,FR42,I553,2015,174467,A,F,NR,
occ_arr,NAT,FR43,I553,2015,157995,A,F,NR,
occ_arr,NAT,FR5,I553,2015,1026415,A,F,NR,
occ_arr,NAT,FR51,I553,2015,331618,A,F,NR,
occ_arr,NAT,FR52,I553,2015,476794,A,F,NR,
occ_arr,NAT,FR53,I553,2015,218002,A,F,NR,
occ_arr,NAT,FR6,I553,2015,1014318,A,F,NR,
occ_arr,NAT,FR61,I553,2015,721927,A,F,NR,
occ_arr,NAT,FR62,I553,2015,226829,A,F,NR,
occ_arr,NAT,FR63,I553,2015,65563,A,F,NR,
occ_arr,NAT,FR7,I553,2015,823016,A,F,NR,
occ_arr,NAT,FR71,I553,2015,692019,A,F,NR,
occ_arr,NAT,FR72,I553,2015,130997,A,F,NR,
occ_arr,NAT,FR8,I553,2015,2005239,A,F,NR,
occ_arr,NAT,FR81,I553,2015,742056,A,F,NR,
occ_arr,NAT,FR82,I553,2015,921149,A,F,NR,
occ_arr,NAT,FR83,I553,2015,342034,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2015,130464997,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2015,43216240,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2015,43216240,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2015,11174286,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2015,1251984,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2015,1429425,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2015,1037276,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2015,2359832,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2015,2552561,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2015,2543208,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2015,2205346,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2015,2205346,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2015,6688026,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2015,1934816,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2015,3639654,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2015,1113555,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2015,9543025,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2015,3282698,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2015,4238965,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2015,2021361,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2015,12352128,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2015,7624687,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2015,4289740,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2015,437701,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2015,15113721,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2015,14249738,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2015,863983,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2015,29492688,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2015,7962843,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2015,18672427,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2015,2857418,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2015,679538,A,F,NR,
occ_ni,FOR,FRA1,I551TOI553,2015,164427,A,F,NR,
occ_ni,FOR,FRA2,I551TOI553,2015,300913,A,F,NR,
occ_ni,FOR,FRA3,I551TOI553,2015,69253,A,F,NR,
occ_ni,FOR,FRA4,I551TOI553,2015,144946,A,F,NR,
occ_ni,FOR,FRA5,I551TOI553,2015,0,A,F,NR,
occ_ni,FOR,FR,I551,2015,74456927,A,F,NR,
occ_ni,FOR,FR1,I551,2015,37832398,A,F,NR,
occ_ni,FOR,FR10,I551,2015,37832398,A,F,NR,
occ_ni,FOR,FR2,I551,2015,6276187,A,F,NR,
occ_ni,FOR,FR21,I551,2015,830980,A,F,NR,
occ_ni,FOR,FR22,I551,2015,533811,A,F,NR,
occ_ni,FOR,FR23,I551,2015,616203,A,F,NR,
occ_ni,FOR,FR24,I551,2015,1337361,A,F,NR,
occ_ni,FOR,FR25,I551,2015,1206301,A,F,NR,
occ_ni,FOR,FR26,I551,2015,1751531,A,F,NR,
occ_ni,FOR,FR3,I551,2015,1742673,A,F,NR,
occ_ni,FOR,FR30,I551,2015,1742673,A,F,NR,
occ_ni,FOR,FR4,I551,2015,3975316,A,F,NR,
occ_ni,FOR,FR41,I551,2015,822962,A,F,NR,
occ_ni,FOR,FR42,I551,2015,2756458,A,F,NR,
occ_ni,FOR,FR43,I551,2015,395896,A,F,NR,
occ_ni,FOR,FR5,I551,2015,2484043,A,F,NR,
occ_ni,FOR,FR51,I551,2015,729796,A,F,NR,
occ_ni,FOR,FR52,I551,2015,1164685,A,F,NR,
occ_ni,FOR,FR53,I551,2015,589563,A,F,NR,
occ_ni,FOR,FR6,I551,2015,4386989,A,F,NR,
occ_ni,FOR,FR61,I551,2015,1788856,A,F,NR,
occ_ni,FOR,FR62,I551,2015,2444235,A,F,NR,
occ_ni,FOR,FR63,I551,2015,153898,A,F,NR,
occ_ni,FOR,FR7,I551,2015,5702441,A,F,NR,
occ_ni,FOR,FR71,I551,2015,5312590,A,F,NR,
occ_ni,FOR,FR72,I551,2015,389851,A,F,NR,
occ_ni,FOR,FR8,I551,2015,11381705,A,F,NR,
occ_ni,FOR,FR81,I551,2015,1559889,A,F,NR,
occ_ni,FOR,FR82,I551,2015,9024343,A,F,NR,
occ_ni,FOR,FR83,I551,2015,797473,A,F,NR,
occ_ni,FOR,FRA,I551,2015,675176,A,F,NR,
occ_ni,FOR,FRA1,I551,2015,161976,A,F,NR,
occ_ni,FOR,FRA2,I551,2015,299002,A,F,NR,
occ_ni,FOR,FRA3,I551,2015,69253,A,F,NR,
occ_ni,FOR,FRA4,I551,2015,144946,A,F,NR,
occ_ni,FOR,FR,I552,2015,19963741,A,F,NR,
occ_ni,FOR,FR1,I552,2015,4220350,A,F,NR,
occ_ni,FOR,FR10,I552,2015,4220350,A,F,NR,
occ_ni,FOR,FR2,I552,2015,997343,A,F,NR,
occ_ni,FOR,FR21,I552,2015,67778,A,F,NR,
occ_ni,FOR,FR22,I552,2015,305928,A,F,NR,
occ_ni,FOR,FR23,I552,2015,98779,A,F,NR,
occ_ni,FOR,FR24,I552,2015,166752,A,F,NR,
occ_ni,FOR,FR25,I552,2015,284223,A,F,NR,
occ_ni,FOR,FR26,I552,2015,73883,A,F,NR,
occ_ni,FOR,FR3,I552,2015,157868,A,F,NR,
occ_ni,FOR,FR30,I552,2015,157868,A,F,NR,
occ_ni,FOR,FR4,I552,2015,997109,A,F,NR,
occ_ni,FOR,FR41,I552,2015,587093,A,F,NR,
occ_ni,FOR,FR42,I552,2015,360068,A,F,NR,
occ_ni,FOR,FR43,I552,2015,49947,A,F,NR,
occ_ni,FOR,FR5,I552,2015,1162592,A,F,NR,
occ_ni,FOR,FR51,I552,2015,447572,A,F,NR,
occ_ni,FOR,FR52,I552,2015,499320,A,F,NR,
occ_ni,FOR,FR53,I552,2015,215701,A,F,NR,
occ_ni,FOR,FR6,I552,2015,1692227,A,F,NR,
occ_ni,FOR,FR61,I552,2015,1016977,A,F,NR,
occ_ni,FOR,FR62,I552,2015,653132,A,F,NR,
occ_ni,FOR,FR63,I552,2015,22118,A,F,NR,
occ_ni,FOR,FR7,I552,2015,5424496,A,F,NR,
occ_ni,FOR,FR71,I552,2015,5364948,A,F,NR,
occ_ni,FOR,FR72,I552,2015,59549,A,F,NR,
occ_ni,FOR,FR8,I552,2015,5307394,A,F,NR,
occ_ni,FOR,FR81,I552,2015,1053786,A,F,NR,
occ_ni,FOR,FR82,I552,2015,3744872,A,F,NR,
occ_ni,FOR,FR83,I552,2015,508735,A,F,NR,
occ_ni,FOR,FRA,I552,2015,4362,A,F,NR,
occ_ni,FOR,FRA1,I552,2015,2451,A,F,NR,
occ_ni,FOR,FRA2,I552,2015,1911,A,F,NR,
occ_ni,FOR,FR,I553,2015,36044329,A,F,NR,
occ_ni,FOR,FR1,I553,2015,1163492,A,F,NR,
occ_ni,FOR,FR10,I553,2015,1163492,A,F,NR,
occ_ni,FOR,FR2,I553,2015,3900755,A,F,NR,
occ_ni,FOR,FR21,I553,2015,353226,A,F,NR,
occ_ni,FOR,FR22,I553,2015,589686,A,F,NR,
occ_ni,FOR,FR23,I553,2015,322294,A,F,NR,
occ_ni,FOR,FR24,I553,2015,855719,A,F,NR,
occ_ni,FOR,FR25,I553,2015,1062037,A,F,NR,
occ_ni,FOR,FR26,I553,2015,717793,A,F,NR,
occ_ni,FOR,FR3,I553,2015,304805,A,F,NR,
occ_ni,FOR,FR30,I553,2015,304805,A,F,NR,
occ_ni,FOR,FR4,I553,2015,1715601,A,F,NR,
occ_ni,FOR,FR41,I553,2015,524761,A,F,NR,
occ_ni,FOR,FR42,I553,2015,523128,A,F,NR,
occ_ni,FOR,FR43,I553,2015,667712,A,F,NR,
occ_ni,FOR,FR5,I553,2015,5896390,A,F,NR,
occ_ni,FOR,FR51,I553,2015,2105331,A,F,NR,
occ_ni,FOR,FR52,I553,2015,2574961,A,F,NR,
occ_ni,FOR,FR53,I553,2015,1216098,A,F,NR,
occ_ni,FOR,FR6,I553,2015,6272912,A,F,NR,
occ_ni,FOR,FR61,I553,2015,4818855,A,F,NR,
occ_ni,FOR,FR62,I553,2015,1192372,A,F,NR,
occ_ni,FOR,FR63,I553,2015,261685,A,F,NR,
occ_ni,FOR,FR7,I553,2015,3986783,A,F,NR,
occ_ni,FOR,FR71,I553,2015,3572200,A,F,NR,
occ_ni,FOR,FR72,I553,2015,414583,A,F,NR,
occ_ni,FOR,FR8,I553,2015,12803590,A,F,NR,
occ_ni,FOR,FR81,I553,2015,5349167,A,F,NR,
occ_ni,FOR,FR82,I553,2015,5903212,A,F,NR,
occ_ni,FOR,FR83,I553,2015,1551211,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2015,279587890,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2015,33594663,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2015,33594663,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2015,27709100,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2015,2601700,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2015,3772204,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2015,3927343,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2015,6931921,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2015,6254269,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2015,4221663,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2015,5767425,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2015,5767425,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2015,12843182,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2015,4610826,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2015,5373453,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2015,2858902,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2015,48099794,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2015,18190941,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2015,17662136,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2015,12246717,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2015,39556489,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2015,24635677,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2015,12838854,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2015,2081958,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2015,40141310,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2015,34421231,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2015,5720079,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2015,68869800,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2015,26080809,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2015,35892755,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2015,6896236,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2015,3006128,A,F,NR,
